country,year,value
World,1985,108.37
World,1986,108.85
World,1987,101.71
World,1988,88.22
World,1989,91.65
World,1990,121.24
World,1991,149.45
World,1992,84.02
World,1993,101.68
World,1994,99.05
World,1995,85.54
World,1996,74.67
World,1997,50.91
World,1998,68.47
World,1999,73.98
World,2000,57.42
World,2001,168.83
World,2002,156.04
World,2003,176.3
World,2004,129.4
World,2005,101.54
World,2006,104.04
World,2007,93.74
World,2008,81.2
World,2009,83.1
World,2010,84.17
World,2011,90.1
World,2012,81.48
World,2013,83.04
World,2014,100.29
World,2015,105.95
World,2016,98.68
World,2017,107.38
World,2018,98.55
World,2019,90.95
World,2020,77.29
World,2021,82.07
World,2022,157.58
World,2023,121.71
World,2024,134.29
World,2025,151.41
