country,iso2,year,value
World,OWID_WRL,1900,0.12780385
World,OWID_WRL,1900,0.12780385
World,OWID_WRL,1901,0.06888751
World,OWID_WRL,1901,0.06888751
World,OWID_WRL,1902,-0.07665878
World,OWID_WRL,1902,-0.07665878
World,OWID_WRL,1903,-0.17098936
World,OWID_WRL,1903,-0.17098936
World,OWID_WRL,1904,-0.23521331
World,OWID_WRL,1904,-0.23521331
World,OWID_WRL,1905,-0.045495477
World,OWID_WRL,1905,-0.045495477
World,OWID_WRL,1906,0.043188963
World,OWID_WRL,1906,0.043188963
World,OWID_WRL,1907,-0.14177856
World,OWID_WRL,1907,-0.14177856
World,OWID_WRL,1908,-0.15152195
World,OWID_WRL,1908,-0.15152195
World,OWID_WRL,1909,-0.1733894
World,OWID_WRL,1909,-0.1733894
World,OWID_WRL,1910,-0.16861174
World,OWID_WRL,1910,-0.16861174
World,OWID_WRL,1911,-0.17678127
World,OWID_WRL,1911,-0.17678127
World,OWID_WRL,1912,-0.11324089
World,OWID_WRL,1912,-0.11324089
World,OWID_WRL,1913,-0.10471334
World,OWID_WRL,1913,-0.10471334
World,OWID_WRL,1914,0.09986118
World,OWID_WRL,1914,0.09986118
World,OWID_WRL,1915,0.17062555
World,OWID_WRL,1915,0.17062555
World,OWID_WRL,1916,-0.057725396
World,OWID_WRL,1916,-0.057725396
World,OWID_WRL,1917,-0.18052194
World,OWID_WRL,1917,-0.18052194
World,OWID_WRL,1918,-0.062066343
World,OWID_WRL,1918,-0.062066343
World,OWID_WRL,1919,0.037008677
World,OWID_WRL,1919,0.037008677
World,OWID_WRL,1920,0.06394268
World,OWID_WRL,1920,0.06394268
World,OWID_WRL,1921,0.121853404
World,OWID_WRL,1921,0.121853404
World,OWID_WRL,1922,0.023284052
World,OWID_WRL,1922,0.023284052
World,OWID_WRL,1923,0.04461587
World,OWID_WRL,1923,0.04461587
World,OWID_WRL,1924,0.050496046
World,OWID_WRL,1924,0.050496046
World,OWID_WRL,1925,0.08015577
World,OWID_WRL,1925,0.08015577
World,OWID_WRL,1926,0.23974274
World,OWID_WRL,1926,0.23974274
World,OWID_WRL,1927,0.13318415
World,OWID_WRL,1927,0.13318415
World,OWID_WRL,1928,0.15583193
World,OWID_WRL,1928,0.15583193
World,OWID_WRL,1929,-0.030145284
World,OWID_WRL,1929,-0.030145284
World,OWID_WRL,1930,0.18549232
World,OWID_WRL,1930,0.18549232
World,OWID_WRL,1931,0.25890008
World,OWID_WRL,1931,0.25890008
World,OWID_WRL,1932,0.21683604
World,OWID_WRL,1932,0.21683604
World,OWID_WRL,1933,0.039953325
World,OWID_WRL,1933,0.039953325
World,OWID_WRL,1934,0.1879609
World,OWID_WRL,1934,0.1879609
World,OWID_WRL,1935,0.15623851
World,OWID_WRL,1935,0.15623851
World,OWID_WRL,1936,0.1927768
World,OWID_WRL,1936,0.1927768
World,OWID_WRL,1937,0.3430988
World,OWID_WRL,1937,0.3430988
World,OWID_WRL,1938,0.350097
World,OWID_WRL,1938,0.350097
World,OWID_WRL,1939,0.32150054
World,OWID_WRL,1939,0.32150054
World,OWID_WRL,1940,0.43823355
World,OWID_WRL,1940,0.43823355
World,OWID_WRL,1941,0.40042704
World,OWID_WRL,1941,0.40042704
World,OWID_WRL,1942,0.36370382
World,OWID_WRL,1942,0.36370382
World,OWID_WRL,1943,0.36871934
World,OWID_WRL,1943,0.36871934
