country,iso2,year,value
World,,2020,3.28374238702316
World,,2019,3.04372477263058
World,,2018,3.05173044623924
World,,2017,3.00583614781013
World,,2016,2.89518267846113
World,,2015,2.86789651265482
World,,2014,2.86423148898345
World,,2013,2.60203120289128
World,,2012,2.88626961432092
World,,2011,2.79509550568265
World,,2010,2.74830731507837
World,,2009,2.72709408557252
World,,2008,2.71295858369099
World,,2007,2.72446473247467
World,,2006,2.72614423477503
World,,2005,2.73991388626098
World,,2004,2.95587021132206
World,,2003,2.65790026667985
World,,2002,2.9260159357822
World,,2001,2.917695667986
World,,2000,3.01656092830083
World,,1991,3.41883975304926
World,,1990,3.63080367883515
World,,1985,4.12237802648181
World,,1980,3.58992502898021
World,,1975,2.40088039513752
World,,1970,3.07463340971166
Afghanistan,,2021,0.36
Afghanistan,,2020,0.34
Afghanistan,,2019,0.38
Afghanistan,,2018,0.4
Afghanistan,,2017,0.42
Afghanistan,,2016,0.45
Afghanistan,,2015,0.44
Afghanistan,,2014,0.46
Afghanistan,,2013,0.46
Afghanistan,,2012,0.47
Afghanistan,,2011,0.45
Afghanistan,,2010,0.43
Afghanistan,,2009,0.42
Afghanistan,,2008,0.42
Afghanistan,,2007,0.42
Afghanistan,,2006,0.42
Afghanistan,,2005,0.42
Afghanistan,,2004,0.39
Afghanistan,,2003,0.39
Afghanistan,,2002,0.39
Afghanistan,,2001,0.39
Afghanistan,,2000,0.3
Afghanistan,,1990,0.2497999966
Afghanistan,,1987,0.3091000020504
Afghanistan,,1981,0.275599986314774
Afghanistan,,1970,0.199000000953674
Afghanistan,,1960,0.170626997947693
Albania,,2020,2.91
Albania,,2019,2.85
Albania,,2018,2.84
Albania,,2017,2.84
Albania,,2016,2.84
Albania,,2015,2.85
Albania,,2014,2.88
Albania,,2013,2.9
Albania,,2012,2.89
Albania,,2011,2.89
Albania,,2010,2.99
Albania,,2009,3.0
Albania,,2008,3.08
Albania,,2007,3.09
Albania,,2006,3.11
Albania,,2005,3.06
Albania,,2004,3.07
Albania,,2003,3.08
Albania,,2002,3.1
Albania,,2001,3.17
Albania,,2000,3.19
Albania,,1999,3.0299999714
Albania,,1998,3.0499999523
Albania,,1997,3.0499999523
Albania,,1996,3.1400001049
Albania,,1995,3.1900000572
Albania,,1994,3.0171000957
Albania,,1993,3.8313999176
Albania,,1992,4.0134000778
Albania,,1991,3.9986999035
Albania,,1990,4.0248999596
Albania,,1989,4.13210010528564
Albania,,1988,3.93549990653992
Albania,,1987,3.97000002861023
Albania,,1986,4.06969976425171
Albania,,1985,4.13880014419556
Albania,,1984,4.13899993896484
Albania,,1983,4.08620023727417
Albania,,1982,4.16069984436035
Albania,,1981,4.18709993362427
Albania,,1980,4.27169990539551
Albania,,1960,5.1026759147644
Algeria,,2017,1.63
Algeria,,2016,1.62
Algeria,,2015,1.64
Algeria,,2014,1.65
Algeria,,2013,1.66
Algeria,,2012,1.67
Algeria,,2011,1.69
Algeria,,2010,1.72
Algeria,,2009,1.75
Algeria,,2008,1.75
Algeria,,2006,1.72
Algeria,,2004,1.81
Algeria,,2003,1.78
Algeria,,2002,1.75
Algeria,,2001,1.76
Algeria,,2000,1.77
Algeria,,1998,2.0999999046
Algeria,,1994,2.1031999588
Algeria,,1990,2.4993000031
Algeria,,1989,2.56439995765686
Algeria,,1988,2.62899994850159
Algeria,,1986,2.48839998245239
Algeria,,1970,2.84249997138977
Algeria,,1960,3.18740749359131
Andorra,,2009,2.5
Andorra,,2008,2.81
Andorra,,2007,2.75
Andorra,,2006,2.57
Andorra,,2005,2.58
