country,iso2,year,value
World,OWID_WRL,1990,0.608
World,OWID_WRL,1990,0.608
World,OWID_WRL,1991,0.611
World,OWID_WRL,1991,0.611
World,OWID_WRL,1992,0.614
World,OWID_WRL,1992,0.614
World,OWID_WRL,1993,0.617
World,OWID_WRL,1993,0.617
World,OWID_WRL,1994,0.62
World,OWID_WRL,1994,0.62
World,OWID_WRL,1995,0.625
World,OWID_WRL,1995,0.625
World,OWID_WRL,1996,0.631
World,OWID_WRL,1996,0.631
World,OWID_WRL,1997,0.636
World,OWID_WRL,1997,0.636
World,OWID_WRL,1998,0.641
World,OWID_WRL,1998,0.641
World,OWID_WRL,1999,0.646
World,OWID_WRL,1999,0.646
World,OWID_WRL,2000,0.651
World,OWID_WRL,2000,0.651
World,OWID_WRL,2001,0.657
World,OWID_WRL,2001,0.657
World,OWID_WRL,2002,0.662
World,OWID_WRL,2002,0.662
World,OWID_WRL,2003,0.669
World,OWID_WRL,2003,0.669
World,OWID_WRL,2004,0.675
World,OWID_WRL,2004,0.675
World,OWID_WRL,2005,0.681
World,OWID_WRL,2005,0.681
World,OWID_WRL,2006,0.688
World,OWID_WRL,2006,0.688
World,OWID_WRL,2007,0.694
World,OWID_WRL,2007,0.694
World,OWID_WRL,2008,0.698
World,OWID_WRL,2008,0.698
World,OWID_WRL,2009,0.701
World,OWID_WRL,2009,0.701
World,OWID_WRL,2010,0.707
World,OWID_WRL,2010,0.707
World,OWID_WRL,2011,0.713
World,OWID_WRL,2011,0.713
World,OWID_WRL,2012,0.717
World,OWID_WRL,2012,0.717
World,OWID_WRL,2013,0.721
World,OWID_WRL,2013,0.721
World,OWID_WRL,2014,0.726
World,OWID_WRL,2014,0.726
World,OWID_WRL,2015,0.731
World,OWID_WRL,2015,0.731
World,OWID_WRL,2016,0.735
World,OWID_WRL,2016,0.735
World,OWID_WRL,2017,0.739
World,OWID_WRL,2017,0.739
World,OWID_WRL,2018,0.741
World,OWID_WRL,2018,0.741
World,OWID_WRL,2019,0.745
World,OWID_WRL,2019,0.745
World,OWID_WRL,2020,0.742
World,OWID_WRL,2020,0.742
World,OWID_WRL,2021,0.742
World,OWID_WRL,2021,0.742
World,OWID_WRL,2022,0.752
World,OWID_WRL,2022,0.752
World,OWID_WRL,2023,0.756
World,OWID_WRL,2023,0.756
