country,iso2,year,value
World,OWID_WRL,1950,22.159
World,OWID_WRL,1950,22.159
World,OWID_WRL,1951,22.123
World,OWID_WRL,1951,22.123
World,OWID_WRL,1952,22.074
World,OWID_WRL,1952,22.074
World,OWID_WRL,1953,22.011
World,OWID_WRL,1953,22.011
World,OWID_WRL,1954,21.937
World,OWID_WRL,1954,21.937
World,OWID_WRL,1955,21.839
World,OWID_WRL,1955,21.839
World,OWID_WRL,1956,21.744
World,OWID_WRL,1956,21.744
World,OWID_WRL,1957,21.639
World,OWID_WRL,1957,21.639
World,OWID_WRL,1958,21.531
World,OWID_WRL,1958,21.531
World,OWID_WRL,1959,21.471
World,OWID_WRL,1959,21.471
World,OWID_WRL,1960,21.455
World,OWID_WRL,1960,21.455
World,OWID_WRL,1961,21.444
World,OWID_WRL,1961,21.444
World,OWID_WRL,1962,21.369
World,OWID_WRL,1962,21.369
World,OWID_WRL,1963,21.201
World,OWID_WRL,1963,21.201
World,OWID_WRL,1964,21.004
World,OWID_WRL,1964,21.004
World,OWID_WRL,1965,20.811
World,OWID_WRL,1965,20.811
World,OWID_WRL,1966,20.626
World,OWID_WRL,1966,20.626
World,OWID_WRL,1967,20.481
World,OWID_WRL,1967,20.481
World,OWID_WRL,1968,20.393
World,OWID_WRL,1968,20.393
World,OWID_WRL,1969,20.333
World,OWID_WRL,1969,20.333
World,OWID_WRL,1970,20.308
World,OWID_WRL,1970,20.308
World,OWID_WRL,1971,20.32
World,OWID_WRL,1971,20.32
World,OWID_WRL,1972,20.363
World,OWID_WRL,1972,20.363
World,OWID_WRL,1973,20.433
World,OWID_WRL,1973,20.433
World,OWID_WRL,1974,20.532
World,OWID_WRL,1974,20.532
World,OWID_WRL,1975,20.659
World,OWID_WRL,1975,20.659
World,OWID_WRL,1976,20.804
World,OWID_WRL,1976,20.804
World,OWID_WRL,1977,20.967
World,OWID_WRL,1977,20.967
World,OWID_WRL,1978,21.132
World,OWID_WRL,1978,21.132
World,OWID_WRL,1979,21.295
World,OWID_WRL,1979,21.295
World,OWID_WRL,1980,21.452
World,OWID_WRL,1980,21.452
World,OWID_WRL,1981,21.589
World,OWID_WRL,1981,21.589
World,OWID_WRL,1982,21.691
World,OWID_WRL,1982,21.691
World,OWID_WRL,1983,21.78
World,OWID_WRL,1983,21.78
World,OWID_WRL,1984,21.874
World,OWID_WRL,1984,21.874
World,OWID_WRL,1985,22.005
World,OWID_WRL,1985,22.005
World,OWID_WRL,1986,22.193
World,OWID_WRL,1986,22.193
World,OWID_WRL,1987,22.388
World,OWID_WRL,1987,22.388
World,OWID_WRL,1988,22.575
World,OWID_WRL,1988,22.575
World,OWID_WRL,1989,22.751
World,OWID_WRL,1989,22.751
World,OWID_WRL,1990,22.923
World,OWID_WRL,1990,22.923
World,OWID_WRL,1991,23.1
World,OWID_WRL,1991,23.1
World,OWID_WRL,1992,23.301
World,OWID_WRL,1992,23.301
World,OWID_WRL,1993,23.52
World,OWID_WRL,1993,23.52
World,OWID_WRL,1994,23.75
World,OWID_WRL,1994,23.75
World,OWID_WRL,1995,23.98
World,OWID_WRL,1995,23.98
World,OWID_WRL,1996,24.209
World,OWID_WRL,1996,24.209
World,OWID_WRL,1997,24.438
World,OWID_WRL,1997,24.438
World,OWID_WRL,1998,24.673
World,OWID_WRL,1998,24.673
World,OWID_WRL,1999,24.907
World,OWID_WRL,1999,24.907
World,OWID_WRL,2000,25.131
World,OWID_WRL,2000,25.131
World,OWID_WRL,2001,25.34
World,OWID_WRL,2001,25.34
World,OWID_WRL,2002,25.541
World,OWID_WRL,2002,25.541
World,OWID_WRL,2003,25.737
World,OWID_WRL,2003,25.737
World,OWID_WRL,2004,25.931
World,OWID_WRL,2004,25.931
World,OWID_WRL,2005,26.123
World,OWID_WRL,2005,26.123
World,OWID_WRL,2006,26.323
World,OWID_WRL,2006,26.323
World,OWID_WRL,2007,26.533
World,OWID_WRL,2007,26.533
World,OWID_WRL,2008,26.744
World,OWID_WRL,2008,26.744
World,OWID_WRL,2009,26.953
World,OWID_WRL,2009,26.953
World,OWID_WRL,2010,27.171
World,OWID_WRL,2010,27.171
World,OWID_WRL,2011,27.392
World,OWID_WRL,2011,27.392
World,OWID_WRL,2012,27.611
World,OWID_WRL,2012,27.611
World,OWID_WRL,2013,27.83
World,OWID_WRL,2013,27.83
World,OWID_WRL,2014,28.058
World,OWID_WRL,2014,28.058
World,OWID_WRL,2015,28.296
World,OWID_WRL,2015,28.296
World,OWID_WRL,2016,28.54
World,OWID_WRL,2016,28.54
World,OWID_WRL,2017,28.786
World,OWID_WRL,2017,28.786
World,OWID_WRL,2018,29.041
World,OWID_WRL,2018,29.041
World,OWID_WRL,2019,29.305
World,OWID_WRL,2019,29.305
World,OWID_WRL,2020,29.575
World,OWID_WRL,2020,29.575
World,OWID_WRL,2021,29.833
World,OWID_WRL,2021,29.833
World,OWID_WRL,2022,30.093
World,OWID_WRL,2022,30.093
World,OWID_WRL,2023,30.364
World,OWID_WRL,2023,30.364
