country,iso2,year,value
Singapore,,2024,76.94
Finland,,2024,75.76
Sweden,,2024,74.99
South Korea,,2024,74.85
Netherlands,,2024,73.94
Switzerland,,2024,73.71
United Kingdom,,2024,73.57
Germany,,2024,73.54
Denmark,,2024,72.7
Canada,,2024,71.76
Japan,,2024,70.96
Israel,,2024,70.46
Norway,,2024,69.7
Australia,,2024,69.43
France,,2024,68.71
China,,2024,68.7
Estonia,,2024,67.85
Ireland,,2024,66.2
Austria,,2024,66.05
Belgium,,2024,65.88
New Zealand,,2024,65.83
Luxembourg,,2024,65.45
Spain,,2024,65.15
Iceland,,2024,64.86
Italy,,2024,63.6
Czechia,,2024,63.47
United Arab Emirates,,2024,62.79
Portugal,,2024,61.73
Lithuania,,2024,59.95
Poland,,2024,59.94
Malta,,2024,59.75
Slovenia,,2024,59.38
Saudi Arabia,,2024,58.75
Malaysia,,2024,57.88
Latvia,,2024,57.68
Qatar,,2024,57.31
Cyprus,,2024,56.68
Thailand,,2024,56.07
Russia,,2024,55.74
Hungary,,2024,55.33
Ukraine,,2024,55.32
Brazil,,2024,55.2
Vietnam,,2024,54.96
Slovakia,,2024,54.88
Serbia,,2024,53.91
Indonesia,,2024,53.84
India,,2024,53.63
Oman,,2024,53.52
Bahrain,,2024,53.5
Costa Rica,,2024,53.44
Uruguay,,2024,53.4
Chile,,2024,53.4
Bulgaria,,2024,53.15
Greece,,2024,52.9
Romania,,2024,52.77
Turkey,,2024,52.65
Croatia,,2024,51.96
Mauritius,,2024,51.17
Kazakhstan,,2024,50.52
Mexico,,2024,50.32
Philippines,,2024,49.93
Colombia,,2024,49.64
Montenegro,,2024,49.58
Armenia,,2024,49.54
Kuwait,,2024,49.3
Georgia,,2024,49.3
Argentina,,2024,48.99
Seychelles,,2024,47.99
South Africa,,2024,47.8
Kenya,,2024,47.06
Jordan,,2024,47.04
Azerbaijan,,2024,46.08
Morocco,,2024,45.93
North Macedonia,,2024,45.92
Panama,,2024,45.61
Dominican Republic,,2024,45.27
Uzbekistan,,2024,44.87
Ecuador,,2024,44.76
Peru,,2024,44.76
Albania,,2024,44.67
Egypt,,2024,44.42
Kyrgyzstan,,2024,44.16
Ghana,,2024,43.95
Mongolia,,2024,43.88
Bangladesh,,2024,43.56
Bosnia Herzegovina,,2024,43.2
Rwanda,,2024,43.16
Ivory Coast,,2024,42.53
Jamaica,,2024,42.5
Paraguay,,2024,42.26
Sri Lanka,,2024,42.12
Tunisia,,2024,41.57
Pakistan,,2024,41.43
Cape Verde,,2024,39.75
El Salvador,,2024,39.36
Algeria,,2024,39.24
Senegal,,2024,39.1
Bolivia,,2024,38.25
Venezuela,,2024,36.84
Guatemala,,2024,36.52
Trinidad and Tobago,,2024,36.48
Honduras,,2024,36.39
Laos,,2024,36.36
Nepal,,2024,35.96
Cambodia,,2024,35.65
Benin,,2024,35.62
Nigeria,,2024,34.87
Cameroon,,2024,34.59
Botswana,,2024,34.54
Zambia,,2024,33.97
Nicaragua,,2024,33.51
Namibia,,2024,33.5
Uganda,,2024,32.9
Malawi,,2024,31.75
Mali,,2024,30.82
Zimbabwe,,2024,30.33
Ethiopia,,2024,29.6
Lesotho,,2024,27.65
Mauritania,,2024,27.16
Madagascar,,2024,27.0
Mozambique,,2024,26.63
Burkina Faso,,2024,25.91
Angola,,2024,25.25
Sierra Leone,,2024,23.43
Chad,,2024,22.22
Democratic Republic of the Congo,,2024,21.49
Burundi,,2024,20.69
Yemen,,2024,20.24
