country,iso2,year,value
World,OWID_WRL,1900,6.0
World,,1900,6.0
World,OWID_WRL,1901,1.0
World,,1901,1.0
World,OWID_WRL,1902,10.0
World,,1902,10.0
World,OWID_WRL,1903,12.0
World,,1903,12.0
World,OWID_WRL,1904,4.0
World,,1904,4.0
World,OWID_WRL,1905,7.0
World,,1905,7.0
World,OWID_WRL,1906,13.0
World,,1906,13.0
World,OWID_WRL,1907,4.0
World,,1907,4.0
World,OWID_WRL,1908,3.0
World,,1908,3.0
World,OWID_WRL,1909,15.0
World,,1909,15.0
World,OWID_WRL,1910,16.0
World,,1910,16.0
World,OWID_WRL,1911,19.0
World,,1911,19.0
World,OWID_WRL,1912,15.0
World,,1912,15.0
World,OWID_WRL,1913,14.0
World,,1913,14.0
World,OWID_WRL,1914,17.0
World,,1914,17.0
World,OWID_WRL,1915,7.0
World,,1915,7.0
World,OWID_WRL,1916,3.0
World,,1916,3.0
World,OWID_WRL,1917,7.0
World,,1917,7.0
World,OWID_WRL,1918,5.0
World,,1918,5.0
World,OWID_WRL,1919,4.0
World,,1919,4.0
World,OWID_WRL,1920,10.0
World,,1920,10.0
World,OWID_WRL,1921,2.0
World,,1921,2.0
World,OWID_WRL,1922,8.0
World,,1922,8.0
World,OWID_WRL,1923,14.0
World,,1923,14.0
World,OWID_WRL,1924,8.0
World,,1924,8.0
World,OWID_WRL,1925,12.0
World,,1925,12.0
World,OWID_WRL,1926,14.0
World,,1926,14.0
World,OWID_WRL,1927,10.0
World,,1927,10.0
World,OWID_WRL,1928,17.0
World,,1928,17.0
World,OWID_WRL,1929,5.0
World,,1929,5.0
World,OWID_WRL,1930,21.0
World,,1930,21.0
World,OWID_WRL,1931,14.0
World,,1931,14.0
World,OWID_WRL,1932,13.0
World,,1932,13.0
World,OWID_WRL,1933,12.0
World,,1933,12.0
World,OWID_WRL,1934,10.0
World,,1934,10.0
World,OWID_WRL,1935,17.0
World,,1935,17.0
World,OWID_WRL,1936,22.0
World,,1936,22.0
World,OWID_WRL,1937,12.0
World,,1937,12.0
World,OWID_WRL,1938,8.0
World,,1938,8.0
World,OWID_WRL,1939,13.0
World,,1939,13.0
World,OWID_WRL,1940,21.0
World,,1940,21.0
World,OWID_WRL,1941,22.0
World,,1941,22.0
World,OWID_WRL,1942,21.0
World,,1942,21.0
World,OWID_WRL,1943,25.0
World,,1943,25.0
World,OWID_WRL,1944,23.0
World,,1944,23.0
World,OWID_WRL,1945,16.0
World,,1945,16.0
World,OWID_WRL,1946,17.0
World,,1946,17.0
World,OWID_WRL,1947,13.0
World,,1947,13.0
World,OWID_WRL,1948,25.0
World,,1948,25.0
World,OWID_WRL,1949,21.0
World,,1949,21.0
World,OWID_WRL,1950,26.0
World,,1950,26.0
World,OWID_WRL,1951,31.0
World,,1951,31.0
World,OWID_WRL,1952,29.0
World,,1952,29.0
World,OWID_WRL,1953,36.0
World,,1953,36.0
World,OWID_WRL,1954,33.0
World,,1954,33.0
World,OWID_WRL,1955,32.0
World,,1955,32.0
World,OWID_WRL,1956,36.0
World,,1956,36.0
World,OWID_WRL,1957,28.0
World,,1957,28.0
World,OWID_WRL,1958,24.0
World,,1958,24.0
World,OWID_WRL,1959,33.0
World,,1959,33.0
World,OWID_WRL,1960,40.0
World,,1960,40.0
World,OWID_WRL,1961,30.0
World,,1961,30.0
World,OWID_WRL,1962,29.0
World,,1962,29.0
World,OWID_WRL,1963,41.0
World,,1963,41.0
World,OWID_WRL,1964,61.0
World,,1964,61.0
World,OWID_WRL,1965,62.0
World,,1965,62.0
World,OWID_WRL,1966,82.0
World,,1966,82.0
World,OWID_WRL,1967,77.0
World,,1967,77.0
World,OWID_WRL,1968,80.0
World,,1968,80.0
World,OWID_WRL,1969,66.0
World,,1969,66.0
World,OWID_WRL,1970,83.0
World,,1970,83.0
World,OWID_WRL,1971,67.0
World,,1971,67.0
World,OWID_WRL,1972,69.0
World,,1972,69.0
World,OWID_WRL,1973,76.0
World,,1973,76.0
World,OWID_WRL,1974,75.0
World,,1974,75.0
World,OWID_WRL,1975,70.0
World,,1975,70.0
World,OWID_WRL,1976,88.0
World,,1976,88.0
World,OWID_WRL,1977,120.0
World,,1977,120.0
World,OWID_WRL,1978,115.0
World,,1978,115.0
World,OWID_WRL,1979,116.0
World,,1979,116.0
World,OWID_WRL,1980,124.0
World,,1980,124.0
World,OWID_WRL,1981,139.0
World,,1981,139.0
World,OWID_WRL,1982,164.0
World,,1982,164.0
World,OWID_WRL,1983,223.0
World,,1983,223.0
World,OWID_WRL,1984,164.0
World,,1984,164.0
World,OWID_WRL,1985,173.0
World,,1985,173.0
World,OWID_WRL,1986,147.0
World,,1986,147.0
World,OWID_WRL,1987,183.0
World,,1987,183.0
World,OWID_WRL,1988,199.0
World,,1988,199.0
World,OWID_WRL,1989,172.0
World,,1989,172.0
World,OWID_WRL,1990,278.0
World,,1990,278.0
World,OWID_WRL,1991,236.0
World,,1991,236.0
World,OWID_WRL,1992,220.0
World,,1992,220.0
World,OWID_WRL,1993,268.0
World,,1993,268.0
World,OWID_WRL,1994,252.0
World,,1994,252.0
World,OWID_WRL,1995,254.0
World,,1995,254.0
World,OWID_WRL,1996,231.0
World,,1996,231.0
World,OWID_WRL,1997,263.0
World,,1997,263.0
World,OWID_WRL,1998,300.0
World,,1998,300.0
World,OWID_WRL,1999,343.0
World,,1999,343.0
World,OWID_WRL,2000,424.0
World,,2000,424.0
World,OWID_WRL,2001,395.0
World,,2001,395.0
World,OWID_WRL,2002,438.0
World,,2002,438.0
World,OWID_WRL,2003,373.0
World,,2003,373.0
World,OWID_WRL,2004,368.0
World,,2004,368.0
World,OWID_WRL,2005,435.0
World,,2005,435.0
World,OWID_WRL,2006,430.0
World,,2006,430.0
World,OWID_WRL,2007,415.0
World,,2007,415.0
World,OWID_WRL,2008,367.0
World,,2008,367.0
World,OWID_WRL,2009,368.0
World,,2009,368.0
World,OWID_WRL,2010,415.0
World,,2010,415.0
World,OWID_WRL,2011,351.0
World,,2011,351.0
World,OWID_WRL,2012,364.0
World,,2012,364.0
World,OWID_WRL,2013,340.0
World,,2013,340.0
World,OWID_WRL,2014,329.0
World,,2014,329.0
World,OWID_WRL,2015,404.0
World,,2015,404.0
World,OWID_WRL,2016,349.0
World,,2016,349.0
World,OWID_WRL,2017,364.0
World,,2017,364.0
World,OWID_WRL,2018,323.0
World,,2018,323.0
World,OWID_WRL,2019,413.0
World,,2019,413.0
World,OWID_WRL,2020,407.0
World,,2020,407.0
World,OWID_WRL,2021,441.0
World,,2021,441.0
World,OWID_WRL,2022,440.0
World,,2022,440.0
World,OWID_WRL,2023,410.0
World,,2023,410.0
