country,iso2,year,value
Albania,,2021,81.9201392916816
Albania,,2020,83.4542198469267
Albania,,2019,74.8082518103115
Albania,,2018,63.6337689521087
Albania,,2017,74.5233409273812
Albania,,2016,79.8771647108445
Albania,,2015,79.2842872907886
Albania,,2014,72.9442880579616
Albania,,2013,70.4662619818776
Albania,,2012,64.0504160397904
Albania,,2011,69.1921886031503
Albania,,1998,54.4034191327832
Albania,,1997,52.2939099492755
Albania,,1996,37.0772780150153
Albania,,1995,29.4509913700363
Armenia,,2023,48.2562845172053
Armenia,,2022,46.5518225541677
Armenia,,2021,60.080359768226
Armenia,,2020,63.4012140067668
Armenia,,2019,50.0284206863703
Australia,,2022,58.0466964106785
Australia,,2021,70.0109117652417
Australia,,2020,69.3215748590956
Australia,,2019,60.2260851971351
Australia,,2018,54.5030658860126
Australia,,2017,53.3164358193161
Australia,,2016,54.6779869160885
Australia,,2015,46.4820384628409
Australia,,2014,41.7223304965257
Australia,,2013,37.5600008066242
Australia,,2012,39.441661369273
Australia,,2011,30.0953996273683
Australia,,2010,28.6633975352712
Australia,,2009,23.8686549747471
Australia,,2008,18.1805465955822
Australia,,2007,20.0957188232021
Australia,,2006,21.439297308383
Australia,,2005,22.4060502981278
Australia,,2004,22.8610710239339
Australia,,2003,25.0737136225763
Australia,,2002,25.8835396049421
Australia,,2001,27.6933059278882
Australia,,2000,29.5228121217974
Australia,,1999,31.0660703401538
Australia,,1998,16.8775032244926
Australia,,1997,20.8599426944392
Australia,,1996,21.8111080233435
Australia,,1995,21.6803200993857
Australia,,1994,20.1885057766862
Australia,,1993,17.8738893678711
Australia,,1992,14.1452466452466
Australia,,1991,11.9186578448085
Australia,,1990,12.227485341102
Azerbaijan,,2021,16.8224266977958
Azerbaijan,,2020,22.1899994626478
Azerbaijan,,2010,6.38557579182856
Azerbaijan,,2009,6.29501240116287
Azerbaijan,,2008,4.57653797474662
Bahamas,,2023,73.7303208143
Bahamas,,2022,77.6639776530748
Bahamas,,2021,82.5398306524293
Bahamas,,2020,79.0414158203086
Bahamas,,2019,56.6924606462303
Bahamas,,2018,56.5027068771842
Bahamas,,2017,52.624565152769
Bahamas,,2016,50.2046646297839
Bahamas,,2015,47.6225079407988
Bahamas,,2014,46.3248467111347
Bahamas,,2013,44.7663646864529
Bahamas,,2012,36.4498330286183
Bahamas,,2011,35.306429206242
Bahamas,,2010,33.6922817103418
Bahamas,,2009,30.908208407968
Bahamas,,2008,25.45550066502
Bahamas,,2007,22.9908535609144
Bahamas,,2006,22.7774542844919
Bahamas,,2000,18.7520042790972
Bahamas,,1999,19.6411443712608
Bahamas,,1998,20.9517328580084
Bahamas,,1997,21.7237964992515
Bahamas,,1996,34.2227763923525
Bahamas,,1995,33.9982502187227
Bahamas,,1994,34.8665234734581
Bahamas,,1993,34.4340232858991
Bahamas,,1992,30.6304277902863
Bahamas,,1991,27.9767032232351
Bahamas,,1990,24.4188250157928
Bahrain,,2020,111.598089477141
Bahrain,,2019,91.3598106259863
Bahrain,,2018,84.3014580347853
Bahrain,,2017,77.5251429515026
Bahrain,,2016,70.5694533398636
Bahrain,,2015,60.7584088656577
Bahrain,,2014,43.5275770260668
Bahrain,,2013,42.2700248553772
Bahrain,,2012,35.6065986264045
Bahrain,,2011,34.5689325404164
Bahrain,,2010,29.0713708137176
Bahrain,,2009,15.6294022913075
Bahrain,,2008,7.2926256555605
Bahrain,,2007,7.54545632569935
Bahrain,,2006,20.2540605565848
Bahrain,,2004,29.3985591955441
Bahrain,,2003,32.4533576041094
Bahrain,,2002,28.3796671065326
Bahrain,,2001,27.1047836328351
Bahrain,,2000,25.7450148929614
Bahrain,,1999,20.8358032721467
Bahrain,,1998,18.6135552828644
Bahrain,,1997,14.916205663568
