country,iso2,year,value
Afghanistan,,2024,54.38625
Afghanistan,,2023,56.7495833333333
Afghanistan,,2022,58.9883333333333
Afghanistan,,2021,59.1775
Afghanistan,,2020,55.56
Afghanistan,,2019,51.9295833333333
Afghanistan,,2018,52.3483333333333
Afghanistan,,2017,45.08125
Afghanistan,,2016,39.72625
Albania,,2024,83.65375
Albania,,2023,85.0770833333333
Albania,,2022,84.42625
Albania,,2021,85.7804166666667
Albania,,2020,81.3175
Albania,,2019,76.0429166666667
Albania,,2018,78.5966666666667
Albania,,2017,68.6583333333333
Albania,,2016,64.905
Algeria,,2024,55.2375
Algeria,,2023,57.3629166666667
Algeria,,2022,60.9066666666667
Algeria,,2021,63.8041666666667
Algeria,,2020,53.74625
Algeria,,2019,58.3225
Algeria,,2018,55.9183333333333
Algeria,,2017,48.5445833333333
Algeria,,2016,44.7304166666667
Andorra,,2024,49.8675
Andorra,,2023,44.7966666666667
Andorra,,2022,40.3679166666667
Angola,,2024,58.1520833333333
Angola,,2023,57.5958333333333
Angola,,2022,54.9670833333333
Angola,,2021,56.45625
Angola,,2020,59.17
Angola,,2019,57.9525
Angola,,2018,54.5720833333333
Angola,,2017,48.3595833333333
Angola,,2016,47.3954166666667
Antigua and Barbuda,,2024,63.2108333333333
Antigua and Barbuda,,2023,60.3175
Antigua and Barbuda,,2022,51.6395833333333
Antigua and Barbuda,,2021,50.2375
Antigua and Barbuda,,2020,44.4720833333333
Argentina,,2024,80.3908333333333
Argentina,,2023,79.1854166666667
Argentina,,2022,76.4691666666667
Argentina,,2021,77.7279166666667
Argentina,,2020,72.1175
Argentina,,2019,69.4391666666667
Argentina,,2018,68.9429166666667
Argentina,,2017,69.0958333333333
Argentina,,2016,65.4683333333333
Armenia,,2024,82.1804166666667
Armenia,,2023,83.3645833333333
Armenia,,2022,85.0583333333333
Armenia,,2021,85.8125
Armenia,,2020,82.9383333333333
Armenia,,2019,82.2266666666667
Armenia,,2018,83.0604166666667
Armenia,,2017,82.04625
Armenia,,2016,79.7416666666667
Australia,,2024,88.9708333333333
Australia,,2023,88.86625
Australia,,2022,87.82625
Australia,,2021,87.0045833333333
Australia,,2020,83.7279166666667
Australia,,2019,84.2416666666667
Australia,,2018,84.3641666666667
Australia,,2017,85.0633333333333
Australia,,2016,83.4166666666667
Austria,,2024,89.3479166666667
Austria,,2023,92.6466666666667
Austria,,2022,90.1029166666667
Austria,,2021,90.9641666666667
Austria,,2020,88.4525
Austria,,2019,86.7933333333334
Austria,,2018,87.8383333333334
Austria,,2017,86.2295833333333
Austria,,2016,86.3220833333333
Azerbaijan,,2024,69.48875
Azerbaijan,,2023,66.78625
Azerbaijan,,2022,70.7791666666667
Azerbaijan,,2021,73.00375
Azerbaijan,,2020,70.8670833333333
Azerbaijan,,2019,68.47125
Azerbaijan,,2018,68.48625
Azerbaijan,,2017,60.705
Azerbaijan,,2016,54.12875
Bahamas,,2024,51.2570833333333
Bahamas,,2023,51.7666666666667
Bahamas,,2022,53.2491666666667
Bahamas,,2021,53.1579166666667
Bahamas,,2020,48.4733333333333
Bahamas,,2019,45.4541666666667
Bahamas,,2018,48.9258333333333
Bahamas,,2017,38.7033333333333
Bahamas,,2016,36.7020833333333
Bahrain,,2024,51.96125
Bahrain,,2023,51.5791666666667
