country,iso2,year,value
Argentina,ARG,2007,46.5
Argentina,ARG,2010,30.333334
Argentina,ARG,2013,48.666668
Argentina,ARG,2016,40.333332
Argentina,ARG,2019,28.0
Argentina,ARG,2022,34.666668
Argentina,ARG,2024,33.5
Australia,AUS,2007,53.0
Australia,AUS,2010,62.5
Australia,AUS,2013,47.0
Australia,AUS,2016,46.333332
Australia,AUS,2019,46.333332
Australia,AUS,2022,49.0
Australia,AUS,2024,49.0
Austria,AUT,2007,50.0
Austria,AUT,2010,41.0
Austria,AUT,2013,40.333332
Austria,AUT,2016,43.0
Austria,AUT,2019,48.0
Austria,AUT,2022,56.666668
Austria,AUT,2024,46.0
Belgium,BEL,2007,57.5
Belgium,BEL,2010,40.0
Belgium,BEL,2013,42.666668
Belgium,BEL,2016,45.0
Belgium,BEL,2019,40.666668
Belgium,BEL,2022,44.333332
Belgium,BEL,2024,50.5
Brazil,BRA,2007,36.0
Brazil,BRA,2010,48.333332
Brazil,BRA,2013,43.0
Brazil,BRA,2016,27.333334
Brazil,BRA,2019,22.666666
Brazil,BRA,2022,36.0
Brazil,BRA,2024,45.0
Bulgaria,BGR,2007,28.0
Bulgaria,BGR,2010,37.0
Bulgaria,BGR,2013,26.0
Bulgaria,BGR,2016,20.333334
Bulgaria,BGR,2019,27.333334
Bulgaria,BGR,2022,22.666666
Bulgaria,BGR,2024,10.5
Canada,CAN,2007,54.0
Canada,CAN,2010,58.333332
Canada,CAN,2013,52.666668
Canada,CAN,2016,59.333332
Canada,CAN,2019,60.333332
Canada,CAN,2022,57.333332
Canada,CAN,2024,47.5
Chile,CHL,2007,50.5
Chile,CHL,2010,49.0
Chile,CHL,2013,32.333332
Chile,CHL,2016,30.0
Chile,CHL,2019,25.0
Chile,CHL,2022,23.0
Chile,CHL,2024,34.5
Colombia,COL,2007,49.5
Colombia,COL,2010,54.333332
Colombia,COL,2013,36.666668
Colombia,COL,2016,27.666666
Colombia,COL,2019,27.333334
Colombia,COL,2022,32.0
Colombia,COL,2024,29.5
Costa Rica,CRI,2007,41.5
Costa Rica,CRI,2010,47.0
Costa Rica,CRI,2013,28.666666
Costa Rica,CRI,2016,31.333334
Costa Rica,CRI,2019,39.0
Costa Rica,CRI,2022,40.666668
Costa Rica,CRI,2024,49.5
Croatia,HRV,2007,39.0
Croatia,HRV,2013,28.5
Croatia,HRV,2016,27.333334
Croatia,HRV,2019,25.0
Croatia,HRV,2022,25.666666
Croatia,HRV,2024,46.5
Czechia,CZE,2007,27.5
Czechia,CZE,2010,33.0
Czechia,CZE,2013,20.666666
Czechia,CZE,2016,40.0
Czechia,CZE,2019,38.0
Czechia,CZE,2022,31.333334
Czechia,CZE,2024,37.0
Denmark,DNK,2007,63.0
Denmark,DNK,2010,63.0
Denmark,DNK,2013,46.333332
Denmark,DNK,2016,50.333332
Denmark,DNK,2019,61.0
Denmark,DNK,2022,67.0
Denmark,DNK,2024,54.5
Estonia,EST,2007,43.0
Estonia,EST,2010,27.5
Estonia,EST,2013,31.666666
Estonia,EST,2016,36.333332
Estonia,EST,2019,41.0
Estonia,EST,2022,49.666668
Estonia,EST,2024,46.0
Finland,FIN,2007,76.0
Finland,FIN,2010,59.0
Finland,FIN,2013,53.0
Finland,FIN,2016,50.666668
Finland,FIN,2019,60.0
Finland,FIN,2022,76.666664
Finland,FIN,2024,70.5
France,FRA,2007,34.0
France,FRA,2010,44.0
France,FRA,2013,40.666668
France,FRA,2016,29.0
France,FRA,2019,37.666668
France,FRA,2022,43.333332
France,FRA,2024,41.5
Germany,DEU,2007,33.5
Germany,DEU,2010,45.333332
Germany,DEU,2013,50.0
Germany,DEU,2016,59.333332
Germany,DEU,2019,59.333332
Germany,DEU,2022,62.0
Germany,DEU,2024,52.0
Greece,GRC,2007,43.5
Greece,GRC,2010,28.0
Greece,GRC,2013,15.0
Greece,GRC,2016,25.333334
Greece,GRC,2019,23.333334
Greece,GRC,2022,35.333332
Greece,GRC,2024,29.5
Hungary,HUN,2007,30.5
Hungary,HUN,2010,22.5
Hungary,HUN,2013,30.0
Hungary,HUN,2016,29.666666
Hungary,HUN,2019,41.666668
Hungary,HUN,2022,43.0
Hungary,HUN,2024,33.5
Iceland,ISL,2010,24.0
Iceland,ISL,2013,36.0
Iceland,ISL,2016,39.5
Iceland,ISL,2019,44.5
Iceland,ISL,2022,58.0
Iceland,ISL,2024,42.5
Indonesia,IDN,2007,56.0
Indonesia,IDN,2010,70.333336
Indonesia,IDN,2013,69.666664
Indonesia,IDN,2016,70.0
Indonesia,IDN,2019,81.666664
Indonesia,IDN,2022,81.333336
Indonesia,IDN,2024,83.5
Ireland,IRL,2007,63.0
Ireland,IRL,2010,37.666668
Ireland,IRL,2013,39.0
Ireland,IRL,2016,53.333332
Ireland,IRL,2019,60.0
Ireland,IRL,2022,62.0
Ireland,IRL,2024,61.0
Israel,ISR,2007,28.0
Israel,ISR,2010,34.333332
Israel,ISR,2013,35.333332
Israel,ISR,2016,43.0
Israel,ISR,2019,43.666668
Israel,ISR,2022,41.666668
Israel,ISR,2024,42.0
Italy,ITA,2007,27.0
Italy,ITA,2010,36.333332
Italy,ITA,2013,23.0
Italy,ITA,2016,27.0
Italy,ITA,2019,22.0
Italy,ITA,2022,37.666668
Italy,ITA,2024,40.0
Japan,JPN,2007,29.5
Japan,JPN,2010,24.666666
Japan,JPN,2013,25.333334
Japan,JPN,2016,36.333332
Japan,JPN,2019,40.0
Japan,JPN,2022,38.0
Japan,JPN,2024,33.0
Latvia,LVA,2007,28.5
Latvia,LVA,2010,14.5
Latvia,LVA,2013,17.666666
Latvia,LVA,2016,28.333334
Latvia,LVA,2019,23.333334
Latvia,LVA,2022,30.0
Latvia,LVA,2024,31.0
Lithuania,LTU,2007,24.0
Lithuania,LTU,2010,13.333333
Lithuania,LTU,2013,23.666666
Lithuania,LTU,2016,33.0
Lithuania,LTU,2019,35.0
Lithuania,LTU,2022,34.666668
Lithuania,LTU,2024,42.5
Luxembourg,LUX,2010,79.5
Luxembourg,LUX,2013,75.0
Luxembourg,LUX,2016,67.666664
Luxembourg,LUX,2019,76.0
Luxembourg,LUX,2022,79.0
Luxembourg,LUX,2024,82.0
Mexico,MEX,2007,42.5
Mexico,MEX,2010,41.0
Mexico,MEX,2013,38.0
Mexico,MEX,2016,29.0
Mexico,MEX,2019,35.0
Mexico,MEX,2022,49.0
Mexico,MEX,2024,59.5
Netherlands,NLD,2007,54.5
Netherlands,NLD,2010,63.0
Netherlands,NLD,2013,57.0
Netherlands,NLD,2016,56.0
Netherlands,NLD,2019,65.0
Netherlands,NLD,2022,61.0
Netherlands,NLD,2024,51.0
New Zealand,NZL,2007,61.0
New Zealand,NZL,2010,55.0
New Zealand,NZL,2013,59.666668
New Zealand,NZL,2016,60.666668
New Zealand,NZL,2019,64.333336
New Zealand,NZL,2022,59.0
New Zealand,NZL,2024,50.5
Norway,NOR,2007,68.0
