country,year,value
AFG,2022,43.6
AGO,2022,30.5
ALB,2022,47.1
ARE,2022,52.4
ARG,2022,41.1
ARM,2022,48.3
ATG,2022,52.4
AUS,2022,60.1
AUT,2022,66.5
AZE,2022,38.6
BDI,2022,30.5
BEL,2022,58.2
BEN,2022,29.6
BFA,2022,35.5
BGD,2022,23.1
BGR,2022,51.9
BHR,2022,42.0
BHS,2022,56.2
BIH,2022,39.4
BLR,2022,48.5
BLZ,2022,50.0
BOL,2022,40.1
BRA,2022,43.6
BRB,2022,53.2
BRN,2022,45.7
BTN,2022,42.5
BWA,2022,54.0
CAF,2022,44.9
CAN,2022,50.0
CHE,2022,65.9
CHL,2022,46.7
CHN,2022,28.4
CIV,2022,32.8
CMR,2022,30.2
COD,2022,36.9
COG,2022,40.1
COL,2022,42.4
COM,2022,42.5
CPV,2022,41.9
CRI,2022,46.3
CUB,2022,47.5
CYP,2022,58.0
CZE,2022,59.9
DEU,2022,62.4
DJI,2022,47.5
DMA,2022,51.2
DNK,2022,77.9
DOM,2022,42.2
DZA,2022,29.6
ECU,2022,46.5
EGY,2022,35.5
ERI,2022,31.7
ESP,2022,56.6
EST,2022,61.4
ETH,2022,31.8
FIN,2022,76.5
FJI,2022,31.3
FRA,2022,62.5
FSM,2022,37.4
GAB,2022,49.7
GBR,2022,77.7
GEO,2022,39.1
GHA,2022,27.7
GIN,2022,31.6
GMB,2022,36.4
GNB,2022,40.2
GNQ,2022,44.8
GRC,2022,56.2
GRD,2022,47.9
GTM,2022,28.0
GUY,2022,38.5
HND,2022,36.5
HRV,2022,60.2
HTI,2022,26.1
HUN,2022,55.1
IDN,2022,28.2
IND,2022,18.9
IRL,2022,57.4
IRN,2022,34.5
IRQ,2022,27.8
ISL,2022,62.8
ISR,2022,48.2
ITA,2022,57.7
JAM,2022,45.6
JOR,2022,43.6
JPN,2022,57.2
KAZ,2022,40.9
KEN,2022,30.8
KGZ,2022,35.7
KHM,2022,30.1
KIR,2022,49.0
KOR,2022,46.9
KWT,2022,42.4
LAO,2022,30.7
LBN,2022,32.2
LBR,2022,24.9
LCA,2022,49.4
LKA,2022,34.7
LSO,2022,32.3
LTU,2022,55.9
LUX,2022,72.3
LVA,2022,61.1
MAR,2022,28.4
MDA,2022,42.7
MDG,2022,28.0
MDV,2022,37.4
MEX,2022,45.5
MHL,2022,36.2
MKD,2022,54.3
MLI,2022,28.5
MLT,2022,75.2
MMR,2022,19.4
MNE,2022,46.9
MNG,2022,29.6
MOZ,2022,31.7
MRT,2022,28.1
MUS,2022,44.8
MWI,2022,40.6
MYS,2022,35.0
NAM,2022,50.9
NER,2022,37.7
NGA,2022,28.3
NIC,2022,37.7
NLD,2022,62.6
NOR,2022,59.3
NPL,2022,28.3
NZL,2022,56.7
OMN,2022,30.7
PAK,2022,24.6
PAN,2022,50.5
PER,2022,39.8
PHL,2022,28.9
PNG,2022,24.8
POL,2022,50.6
PRT,2022,50.4
PRY,2022,40.9
QAT,2022,33.0
ROU,2022,56.0
RUS,2022,37.5
RWA,2022,32.8
SAU,2022,37.9
SDN,2022,27.6
SEN,2022,33.9
SGP,2022,50.9
SLB,2022,35.0
SLE,2022,32.7
SLV,2022,40.8
SRB,2022,43.9
STP,2022,52.9
SUR,2022,45.9
SVK,2022,60.0
SVN,2022,67.3
SWE,2022,72.7
SWZ,2022,44.9
SYC,2022,55.6
TCD,2022,28.1
TGO,2022,34.0
THA,2022,38.1
TJK,2022,37.1
TKM,2022,37.0
TLS,2022,35.1
TON,2022,43.8
TTO,2022,47.8
TUN,2022,40.7
TUR,2022,26.3
TWN,2022,45.3
TZA,2022,34.2
UGA,2022,35.8
UKR,2022,49.6
URY,2022,37.4
USA,2022,51.1
UZB,2022,38.2
VCT,2022,53.2
VEN,2022,46.4
VNM,2022,20.1
VUT,2022,36.9
WSM,2022,36.4
ZAF,2022,37.2
ZMB,2022,38.4
ZWE,2022,46.2
