country,year,value
A North American Team,1900,1
Algeria,1992,1
Algeria,1996,1
Algeria,2000,1
Algeria,2008,1
Ali-Baba II,1948,1
Amateur Athletic Association,1900,1
Amstel Amsterdam,1908,1
Ancora,1920,1
Angelita,1932,1
Antwerpia V,1920,1
Aphrodite,1964,1
Argentina,1924,2
Argentina,1928,3
Argentina,1932,1
Argentina,1936,4
Argentina,1948,3
Argentina,1952,1
Argentina,1968,1
Argentina,1972,1
Argentina,1988,1
Argentina,1996,3
Argentina,2000,4
Argentina,2004,5
Argentina,2008,5
Argentina,2012,4
Argentina,2016,3
Argonaut Rowing Club,1908,1
Armenia,2008,2
Armenia,2012,1
Armenia,2016,2
Australasia,1908,4
Australasia,1912,2
Australia,1906,2
Australia,1920,2
Australia,1924,6
Australia,1928,2
Australia,1932,1
Australia,1948,4
Australia,1952,5
Australia,1956,12
Australia,1960,8
Australia,1964,10
Australia,1968,9
Australia,1972,6
Australia,1976,4
Australia,1980,3
Australia,1984,9
Australia,1988,6
Australia,1992,7
Australia,1996,16
Australia,2000,22
Australia,2004,20
Australia,2008,17
Australia,2012,22
Australia,2016,18
Australia-1,1996,1
Australia-1,2000,1
Austria,1906,1
Austria,1912,2
Austria,1924,3
Austria,1928,3
Austria,1932,1
Austria,1936,4
Austria,1948,1
Austria,1968,1
Austria,1972,2
Austria,1976,1
Austria,1980,2
Austria,1988,1
Austria,1992,2
Austria,1996,1
Austria,2000,2
Austria,2004,6
Austria,2008,4
Austria,2012,2
Austria,2016,6
Austria-1,1964,2
Austria-1,1968,1
Austria-1,1992,1
Austria-2,1928,1
Azerbaijan,1996,1
Azerbaijan,2000,1
Azerbaijan,2004,2
Azerbaijan,2008,1
Azerbaijan,2012,1
Azerbaijan,2016,4
"BLO Polo Club, Rugby",1900,2
"Bagatelle Polo Club, Paris",1900,1
Bahamas,1996,1
Bahamas,2000,3
Bahamas,2004,1
Bahamas,2008,1
Bahamas,2012,1
Bahamas,2016,1
Ballerina IV,1960,1
Barion/Bari-2,1906,1
Belarus,1996,3
Belarus,2000,8
Belarus,2004,3
Belarus,2008,7
Belarus,2012,5
Belarus,2016,3
Belgium,1900,1
Belgium,1906,4
Belgium,1908,3
Belgium,1912,4
Belgium,1920,25
Belgium,1924,8
Belgium,1928,1
Belgium,1936,2
Belgium,1948,3
Belgium,1952,1
Belgium,1976,1
Belgium,1984,1
Belgium,1992,1
Belgium,1996,1
Belgium,2000,2
Belgium,2008,1
Belgium,2012,1
Belgium,2016,2
Bem II,1936,1
Bera,1924,1
Berliner Ruderclub,1908,1
Berliner Ruderverein von 1876-2,1912,1
Bingo,1964,1
Bissbi,1932,1
Bluebottle,1956,1
Bonzo,1924,1
Boreas-2,1920,1
Boston Archers,1904,1
Botswana,2012,1
Brazil,1920,2
Brazil,1948,1
Brazil,1952,2
Brazil,1956,1
Brazil,1960,2
Brazil,1964,1
Brazil,1968,2
Brazil,1976,2
Brazil,1980,3
Brazil,1984,5
Brazil,1988,4
Brazil,1992,3
Brazil,1996,8
Brazil,2000,7
Brazil,2004,5
Brazil,2008,9
Brazil,2012,8
Brazil,2016,6
Brazil-1,2000,1
Brazil-1,2004,2
Brazil-1,2008,1
Brazil-1,2012,1
Brazil-1,2016,2
Brazil-2,2008,1
Brussels Swimming and Water Polo Club,1900,1
Brynhild-2,1900,1
Bucintoro Venezia,1906,2
Bucintoro Venezia-1,1906,1
Bulgaria,1956,2
Bulgaria,1960,2
Bulgaria,1964,1
Bulgaria,1968,2
Bulgaria,1972,7
Bulgaria,1976,3
Bulgaria,1980,17
Bulgaria,1988,7
Bulgaria,1992,4
Bulgaria,1996,4
Bulgaria,2000,4
Bulgaria,2004,3
Bulgaria,2008,1
Bulgaria,2016,1
Buraddoo,1956,1
Cambridge University Boat Club-2,1908,1
Cameroon,1968,1
Cameroon,2000,1
Canada,1904,1
Canada,1908,9
Canada,1912,2
Canada,1920,1
Canada,1924,4
Canada,1928,7
Canada,1932,7
Canada,1936,7
Canada,1948,3
Canada,1952,2
Canada,1956,4
Canada,1960,2
Canada,1964,2
Canada,1968,3
Canada,1972,3
Canada,1976,4
Canada,1980,1
Canada,1984,27
Canada,1988,4
Canada,1992,10
Canada,1996,13
Canada,2000,11
Canada,2004,11
Canada,2008,17
Canada,2012,16
Canada,2016,19
Canada-1,1956,1
Canada-1,1964,1
Canada-1,1992,1
Canada-1,1996,2
Canada-1,2008,1
Canada-1,2012,1
Canada-2,2012,1
Caprice,1932,1
Carabinier-15,1900,1
"Central Turnverein, Chicago",1904,1
Century Boat Club-1,1904,1
Cercle de l'Aviron Roubaix-4,1900,1
Chicago Athletic Association,1904,1
Chicago Athletic Association-2,1904,1
Chile,1952,2
Chile,1956,2
Chile,1988,1
Chile,2000,1
China,1984,4
China,1988,3
China,1992,3
China,1996,12
China,2000,8
China,2004,6
China,2008,20
China,2012,19
China,2016,23
China-1,1988,1
China-1,1992,1
China-1,1996,1
China-1,2004,1
China-1,2008,2
China-1,2012,1
China-2,1992,1
Chinese Taipei,1968,1
Chinese Taipei,1992,1
Chinese Taipei,1996,1
Chinese Taipei,2000,2
Chinese Taipei,2004,4
Chinese Taipei,2008,2
Christian Brothers' College-1,1904,1
Chuckles,1956,1
Cincinnati Archers,1904,1
Cobweb-1,1908,1
Colombia,1972,1
Colombia,1984,1
Colombia,2004,1
Colombia,2012,2
Colombia,2016,2
Complex II,1952,1
Cornwall,1908,1
Cote d'Ivoire,2016,1
Crabe II-1,1900,1
Crabe II-4,1900,1
Croatia,1992,1
Croatia,1996,2
Croatia,2000,1
Croatia,2004,3
Croatia,2012,4
Croatia,2016,2
Cuba,1904,2
Cuba,1964,1
Cuba,1968,2
Cuba,1972,5
Cuba,1976,4
Cuba,1980,9
Cuba,1992,6
Cuba,1996,6
Cuba,2000,6
Cuba,2004,9
Cuba,2008,11
Cuba,2012,4
Cuba,2016,4
Czech Republic,1996,3
Czech Republic,2000,1
Czech Republic,2004,2
Czech Republic,2008,2
Czech Republic,2012,3
Czech Republic,2016,2
Czechoslovakia,1924,1
Czechoslovakia,1928,2
Czechoslovakia,1932,1
Czechoslovakia,1936,2
