country,year,value
Afghanistan,2008,1
Afghanistan,2012,1
Albania,2024,2
Algeria,1984,2
Algeria,1992,2
Algeria,1996,3
Algeria,2000,5
Algeria,2008,2
Algeria,2012,1
Algeria,2016,2
Algeria,2024,3
Argentina,1924,6
Argentina,1928,7
Argentina,1936,7
Argentina,1948,7
Argentina,1952,5
Argentina,1956,2
Argentina,1964,1
Argentina,1968,2
Argentina,1972,1
Argentina,1988,2
Argentina,1992,1
Argentina,1996,3
Argentina,2000,4
Argentina,2004,6
Argentina,2008,6
Argentina,2012,4
Argentina,2016,4
Argentina,2020,3
Argentina,2024,3
Argentina (ARG),1932,4
Argentina (ARG),1960,2
Armenia,1996,2
Armenia,2000,1
Armenia,2008,5
Armenia,2012,2
Armenia,2016,4
Armenia,2020,4
Armenia,2024,4
Australasia,1912,7
Australasia (ANZ),1908,5
Australia,1896,2
Australia,1900,3
Australia,1904,4
Australia,1920,3
Australia,1924,6
Australia,1928,4
Australia,1936,1
Australia,1948,13
Australia,1952,11
Australia,1956,35
Australia,1964,18
Australia,1968,17
Australia,1972,17
Australia,1976,5
Australia,1980,9
Australia,1984,24
Australia,1988,14
Australia,1992,27
Australia,1996,41
Australia,2000,58
Australia,2004,50
Australia,2008,46
Australia,2012,35
Australia,2016,29
Australia,2020,46
Australia,2024,53
Australia (AUS),1932,5
Australia (AUS),1960,22
Austria,1896,5
Austria,1900,6
Austria,1904,3
Austria,1912,4
Austria,1924,4
Austria,1928,3
Austria,1936,17
Austria,1948,4
Austria,1952,2
Austria,1956,2
Austria,1968,4
Austria,1972,3
Austria,1976,1
Austria,1980,4
Austria,1984,3
Austria,1988,1
Austria,1992,2
Austria,1996,3
Austria,2000,3
Austria,2004,7
Austria,2008,3
Austria,2016,1
Austria,2020,7
Austria,2024,5
Austria (AUT),1908,1
Austria (AUT),1932,5
Austria (AUT),1960,2
Azerbaijan,1996,1
Azerbaijan,2000,3
Azerbaijan,2004,5
Azerbaijan,2008,6
Azerbaijan,2012,9
Azerbaijan,2016,18
Azerbaijan,2020,7
Azerbaijan,2024,7
Bahamas,1956,1
Bahamas,1964,1
Bahamas,1992,1
Bahamas,1996,1
Bahamas,2000,3
Bahamas,2004,2
Bahamas,2008,2
Bahamas,2012,1
Bahamas,2016,2
Bahamas,2020,2
Bahrain,2012,1
Bahrain,2016,2
Bahrain,2020,1
Bahrain,2024,4
Barbados,2000,1
Belarus,1996,15
Belarus,2000,17
Belarus,2004,13
Belarus,2008,14
Belarus,2012,10
Belarus,2016,9
Belarus,2020,7
Belgium,1900,18
Belgium,1912,6
Belgium,1920,36
Belgium,1924,13
Belgium,1928,3
Belgium,1936,3
Belgium,1948,7
Belgium,1952,4
Belgium,1956,2
Belgium,1964,3
Belgium,1968,2
Belgium,1972,2
Belgium,1976,6
Belgium,1980,1
Belgium,1984,4
Belgium,1988,2
Belgium,1992,3
Belgium,1996,6
Belgium,2000,5
Belgium,2004,3
Belgium,2008,2
Belgium,2012,3
Belgium,2016,6
Belgium,2020,7
Belgium,2024,10
Belgium (BEL),1908,8
Belgium (BEL),1932,1
Belgium (BEL),1960,4
Bermuda,1976,1
Bermuda,2020,1
Bohemia,1900,2
Bohemia (BOH),1908,2
Botswana,2012,1
Botswana,2020,1
Botswana,2024,2
Brazil,1920,3
Brazil,1948,1
Brazil,1952,3
Brazil,1956,1
Brazil,1964,1
Brazil,1968,3
Brazil,1972,2
Brazil,1976,2
Brazil,1980,4
Brazil,1984,8
Brazil,1988,6
Brazil,1992,3
Brazil,1996,15
Brazil,2000,12
Brazil,2004,10
Brazil,2008,17
Brazil,2012,17
Brazil,2016,19
Brazil,2020,21
Brazil,2024,20
Brazil (BRA),1960,2
British West Indies (BWI),1960,2
Bulgaria,1952,1
Bulgaria,1956,5
Bulgaria,1964,10
Bulgaria,1968,9
Bulgaria,1972,21
Bulgaria,1976,22
Bulgaria,1980,41
Bulgaria,1988,35
Bulgaria,1992,16
Bulgaria,1996,15
Bulgaria,2000,13
Bulgaria,2004,12
Bulgaria,2008,5
Bulgaria,2012,3
Bulgaria,2016,3
Bulgaria,2020,6
Bulgaria,2024,7
Bulgaria (BUL),1960,7
Burkina Faso,2020,1
Burundi,1996,1
Burundi,2016,1
Cameroon,1968,1
Cameroon,1984,1
Cameroon,2000,1
Cameroon,2004,1
Cameroon,2008,1
Cameroon,2012,1
Canada,1904,6
Canada,1912,8
Canada,1920,9
Canada,1924,4
Canada,1928,15
Canada,1936,9
Canada,1948,4
Canada,1952,3
Canada,1956,6
Canada,1964,4
Canada,1968,5
Canada,1972,5
Canada,1976,11
Canada,1984,44
Canada,1988,10
Canada,1992,18
Canada,1996,22
Canada,2000,14
Canada,2004,12
Canada,2008,20
Canada,2012,18
Canada,2016,22
Canada,2020,24
Canada,2024,27
Canada (CAN),1908,16
Canada (CAN),1932,16
Canada (CAN),1960,1
Cape Verde,2024,1
Ceylon,1948,1
Chile,1928,1
Chile,1952,2
Chile,1956,4
Chile,1988,1
Chile,2000,1
Chile,2004,3
Chile,2008,1
Chile,2024,2
China,1984,32
China,1988,28
China,1992,54
China,1996,50
China,2000,58
China,2004,63
China,2008,100
China,2012,92
China,2016,70
China,2020,89
China,2024,91
Chinese Taipei,1984,1
Chinese Taipei,1992,1
Chinese Taipei,1996,1
Chinese Taipei,2000,5
Chinese Taipei,2004,5
Chinese Taipei,2008,4
Chinese Taipei,2012,2
Chinese Taipei,2016,3
Chinese Taipei,2020,12
Chinese Taipei,2024,7
Colombia,1972,3
Colombia,1984,1
Colombia,1988,1
Colombia,1992,1
Colombia,2000,1
Colombia,2004,2
Colombia,2008,3
Colombia,2012,9
Colombia,2016,8
Colombia,2020,5
Colombia,2024,4
Costa Rica,1988,1
Costa Rica,1996,1
Costa Rica,2000,2
Croatia,1992,3
Croatia,1996,2
Croatia,2000,2
Croatia,2004,5
Croatia,2008,5
Croatia,2012,6
Croatia,2016,10
Croatia,2020,8
Croatia,2024,7
Cuba,1900,2
Cuba,1904,3
Cuba,1948,1
Cuba,1964,1
Cuba,1968,4
Cuba,1972,8
Cuba,1976,13
Cuba,1980,20
Cuba,1992,31
Cuba,1996,25
Cuba,2000,29
Cuba,2004,27
Cuba,2008,30
