country,year,value
Australia,1924,1
Australia,1994,1
Australia,2002,2
Australia,2006,2
Australia,2010,2
Australia,2014,1
Austria,1924,2
Austria,1928,2
Austria,1932,1
Austria,1968,1
Austria,1972,1
Austria,1980,1
Austria,1988,1
Austria,1992,1
Austria,1994,1
Austria,1998,2
Austria,2002,5
Austria,2006,4
Austria,2010,2
Austria,2014,6
Austria-1,1964,2
Austria-1,1968,1
Austria-1,1992,1
Austria-2,1928,1
Belarus,1998,2
Belarus,2006,1
Belarus,2010,1
Belarus,2014,3
Belgium,1948,1
Bulgaria,1998,1
Canada,1924,1
Canada,1928,1
Canada,1932,1
Canada,1936,1
Canada,1948,2
Canada,1952,2
Canada,1956,1
Canada,1960,1
Canada,1964,1
Canada,1968,1
Canada,1976,1
Canada,1980,1
Canada,1984,3
Canada,1992,5
Canada,1994,6
Canada,1998,6
Canada,2002,7
Canada,2006,7
Canada,2010,7
Canada,2014,9
Canada-1,1956,1
Canada-1,1964,1
Canada-1,1992,1
Canada-1,1994,1
Canada-1,2006,1
Canada-1,2010,1
Canada-2,2010,1
China,1994,1
China,1998,3
China,2002,1
China,2014,2
Croatia,2010,1
Czech Republic,1998,1
Czech Republic,2006,2
Czech Republic,2010,2
Czechoslovakia,1928,1
Czechoslovakia,1948,1
Czechoslovakia,1960,1
Czechoslovakia,1964,1
Czechoslovakia,1968,1
Czechoslovakia,1972,1
Czechoslovakia,1976,1
Czechoslovakia,1984,2
Czechoslovakia,1988,1
Czechoslovakia,1992,2
Denmark,1998,1
East Germany,1968,1
East Germany,1972,2
East Germany,1976,6
East Germany,1980,6
East Germany,1984,7
East Germany,1988,6
East Germany-1,1968,1
East Germany-1,1972,1
East Germany-1,1976,1
East Germany-1,1980,1
East Germany-2,1972,1
East Germany-2,1988,1
Finland,1924,1
Finland,1960,1
Finland,1988,1
Finland,1992,1
Finland,1994,1
Finland,1998,2
Finland,2002,1
Finland,2006,2
Finland,2010,1
Finland,2014,1
France,1924,2
France,1928,1
France,1932,1
France,1936,1
France,1948,2
France,1952,1
France,1960,1
France,1964,2
France,1968,2
France,1972,1
France,1976,1
France,1984,1
France,1992,2
France,1994,4
France,1998,3
France,2002,3
France,2006,8
France,2010,5
France,2014,4
France-1,1924,1
France-1,1992,1
France-1,1998,1
France-1,2002,1
Germany,1932,1
Germany,1936,2
Germany,1952,3
Germany,1960,1
Germany,1964,3
Germany,1992,4
Germany,1994,8
Germany,1998,6
Germany,2002,11
Germany,2006,10
Germany,2010,5
Germany,2014,3
Germany-1,1936,1
Germany-1,1952,1
Germany-1,1960,1
Germany-1,1964,1
Germany-1,1992,1
Germany-1,1994,2
Germany-1,1998,1
Germany-1,2014,1
Germany-2,1992,1
Germany-2,1994,1
Germany-2,2002,2
Germany-2,2010,1
Great Britain,1924,2
Great Britain,1936,3
Great Britain,1948,2
Great Britain,1952,1
Great Britain,1976,1
Great Britain,1980,1
Great Britain,1994,1
Great Britain,1998,1
Great Britain,2002,1
Great Britain,2014,2
Great Britain-1,1924,1
Great Britain-1,1964,1
Great Britain-1,1984,1
Italy,1948,1
Italy,1952,2
Italy,1960,1
Italy,1988,1
Italy,1992,7
Italy,1994,11
Italy,1998,7
Italy,2002,6
Italy,2006,7
Italy-1,1956,1
Italy-1,1964,1
Italy-1,1968,2
Italy-1,1972,1
Italy-1,1980,1
Italy-1,1994,1
Italy-2,1956,2
Italy-2,1964,1
Japan,1972,1
Japan,1992,1
Japan,1994,1
Japan,2006,1
Japan,2010,1
Latvia,2010,1
Latvia,2014,1
Latvia-1,2014,1
Nepal,1924,1
Netherlands,1952,2
Netherlands,1960,1
Netherlands,1964,1
Netherlands,1968,2
Netherlands,1972,2
Netherlands,1976,1
Netherlands,1980,2
Netherlands,1998,2
Netherlands,2002,1
Netherlands,2006,1
Netherlands,2010,2
Netherlands,2014,7
New Zealand,1992,1
Norway,1924,1
Norway,1928,6
Norway,1932,3
Norway,1936,7
Norway,1948,3
Norway,1952,12
Norway,1956,1
Norway,1960,3
Norway,1964,4
Norway,1968,5
Norway,1972,2
Norway,1976,1
Norway,1980,4
Norway,1984,3
Norway,1988,2
Norway,1992,4
Norway,1994,9
Norway,1998,8
Norway,2002,12
Norway,2006,11
Norway,2010,12
Norway,2014,10
Poland,2014,3
