country,year,value
AUS,2000,529
AUS,2003,525
AUS,2006,520
AUS,2009,519
AUS,2012,512
AUS,2015,502
AUS,2018,499
AUT,2000,492
AUT,2003,498
AUT,2006,502
AUT,2012,500
AUT,2015,492
AUT,2018,491
BEL,2000,508
BEL,2003,518
BEL,2006,511
BEL,2009,509
BEL,2012,509
BEL,2015,503
BEL,2018,500
BRA,2000,396
BRA,2003,379
BRA,2006,384
BRA,2009,401
BRA,2012,401
BRA,2015,395
BRA,2018,400
CAN,2000,535
CAN,2003,532
CAN,2006,529
CAN,2009,527
CAN,2012,522
CAN,2015,523
CAN,2018,517
CHE,2000,495
CHE,2003,513
CHE,2006,514
CHE,2009,517
CHE,2012,518
CHE,2015,506
CHE,2018,498
CHL,2000,409
CHL,2006,430
CHL,2009,439
CHL,2012,436
CHL,2015,443
CHL,2018,438
COL,2015,410
COL,2018,405
CRI,2018,415
CZE,2000,492
CZE,2003,502
CZE,2006,502
CZE,2009,491
CZE,2012,500
CZE,2015,491
CZE,2018,496
DEU,2000,485
DEU,2003,498
DEU,2006,505
DEU,2009,510
DEU,2012,515
DEU,2015,508
DEU,2018,500
DNK,2000,497
DNK,2003,503
DNK,2006,501
DNK,2009,499
DNK,2012,498
DNK,2015,504
DNK,2018,501
ESP,2000,493
ESP,2003,483
ESP,2006,476
ESP,2009,484
ESP,2012,489
ESP,2015,491
ESP,2018,482
EST,2006,516
EST,2009,514
EST,2012,526
EST,2015,524
EST,2018,526
FIN,2000,546
FIN,2003,544
FIN,2006,553
FIN,2009,543
FIN,2012,530
FIN,2015,523
FIN,2018,516
FRA,2000,505
FRA,2003,503
FRA,2006,493
FRA,2009,497
FRA,2012,500
FRA,2015,496
FRA,2018,494
GBR,2006,502
GBR,2009,500
GBR,2012,502
GBR,2015,500
GBR,2018,504
GRC,2000,474
GRC,2003,458
GRC,2006,464
GRC,2009,473
GRC,2012,466
GRC,2015,459
GRC,2018,454
HKG,2015,533
HUN,2000,480
HUN,2003,486
HUN,2006,493
HUN,2009,496
HUN,2012,486
HUN,2015,474
HUN,2018,479
IDN,2000,370
IDN,2003,371
IDN,2006,392
IDN,2009,385
IDN,2012,384
IDN,2015,395
