country,year,value
ABW,1995,25.32
ABW,1996,25.36
ABW,1997,25.4
ABW,1998,25.43
ABW,1999,25.47
ABW,2000,25.51
ABW,2001,25.49
ABW,2002,25.47
ABW,2003,25.44
ABW,2004,25.42
ABW,2005,25.4
ABW,2006,25.29
ABW,2007,25.18
ABW,2008,25.06
ABW,2009,24.95
ABW,2010,24.84
ABW,2011,24.97
ABW,2012,25.09
ABW,2013,25.22
ABW,2014,25.34
ABW,2015,25.47
ABW,2016,25.37
ABW,2017,25.26
ABW,2018,25.16
ABW,2019,25.05
ABW,2020,24.95
ABW,2021,24.95
ABW,2022,24.95
AFG,1995,6.18
AFG,1996,6.11
AFG,1997,6.05
AFG,1998,5.98
AFG,1999,5.92
AFG,2000,5.85
AFG,2001,6.23
AFG,2002,6.62
AFG,2003,7.0
AFG,2004,7.39
AFG,2005,7.77
AFG,2006,8.17
AFG,2007,8.57
AFG,2008,8.97
AFG,2009,9.37
AFG,2010,9.77
AFG,2011,9.95
AFG,2012,10.13
AFG,2013,10.3
AFG,2014,10.48
AFG,2015,10.66
AFG,2016,10.75
AFG,2017,10.84
AFG,2018,10.93
AFG,2019,11.02
AFG,2020,11.11
AFG,2021,11.11
AFG,2022,11.11
AGO,1995,12.97
AGO,1996,13.13
AGO,1997,13.3
AGO,1998,13.46
AGO,1999,13.63
AGO,2000,13.79
AGO,2001,14.14
AGO,2002,14.49
AGO,2003,14.83
AGO,2004,15.18
AGO,2005,15.53
AGO,2006,15.97
AGO,2007,16.41
AGO,2008,16.84
AGO,2009,17.28
AGO,2010,17.72
AGO,2011,17.85
AGO,2012,17.99
AGO,2013,18.12
AGO,2014,18.26
AGO,2015,18.39
AGO,2016,18.51
AGO,2017,18.63
AGO,2018,18.75
AGO,2019,18.87
AGO,2020,18.99
AGO,2021,18.99
AGO,2022,18.99
ALB,1995,14.95
ALB,1996,15.23
ALB,1997,15.52
ALB,1998,15.8
ALB,1999,16.09
ALB,2000,16.37
ALB,2001,16.67
ALB,2002,16.97
ALB,2003,17.26
ALB,2004,17.56
ALB,2005,17.86
ALB,2006,18.1
ALB,2007,18.35
ALB,2008,18.59
ALB,2009,18.84
ALB,2010,19.08
ALB,2011,19.24
ALB,2012,19.41
ALB,2013,19.57
ALB,2014,19.74
ALB,2015,19.9
ALB,2016,20.02
ALB,2017,20.13
ALB,2018,20.25
ALB,2019,20.36
ALB,2020,20.48
ALB,2021,20.48
ALB,2022,20.48
AND,1995,13.49
AND,1996,13.61
AND,1997,13.74
AND,1998,13.86
AND,1999,13.99
AND,2000,14.11
AND,2001,14.22
AND,2002,14.32
AND,2003,14.43
AND,2004,14.53
AND,2005,14.64
AND,2006,14.69
AND,2007,14.74
AND,2008,14.8
AND,2009,14.85
AND,2010,14.9
AND,2011,14.95
AND,2012,15.0
AND,2013,15.06
AND,2014,15.11
AND,2015,15.16
AND,2016,15.15
AND,2017,15.14
AND,2018,15.14
AND,2019,15.13
AND,2020,15.12
AND,2021,15.12
AND,2022,15.12
ARE,1995,22.05
ARE,1996,22.05
ARE,1997,22.05
ARE,1998,22.04
ARE,1999,22.04
ARE,2000,22.04
ARE,2001,22.23
ARE,2002,22.42
ARE,2003,22.62
ARE,2004,22.81
ARE,2005,23.0
ARE,2006,23.1
ARE,2007,23.19
ARE,2008,23.29
ARE,2009,23.38
ARE,2010,23.48
ARE,2011,23.6
ARE,2012,23.72
ARE,2013,23.85
ARE,2014,23.97
ARE,2015,24.09
ARE,2016,24.17
ARE,2017,24.25
ARE,2018,24.33
ARE,2019,24.41
ARE,2020,24.49
ARE,2021,24.49
ARE,2022,24.49
ARG,1995,8.61
ARG,1996,8.63
ARG,1997,8.65
ARG,1998,8.68
ARG,1999,8.7
ARG,2000,8.72
ARG,2001,8.74
ARG,2002,8.76
ARG,2003,8.78
ARG,2004,8.8
ARG,2005,8.82
ARG,2006,8.89
ARG,2007,8.97
ARG,2008,9.04
ARG,2009,9.12
ARG,2010,9.19
ARG,2011,9.22
ARG,2012,9.25
ARG,2013,9.29
ARG,2014,9.32
ARG,2015,9.35
ARG,2016,9.4
ARG,2017,9.45
ARG,2018,9.49
ARG,2019,9.54
ARG,2020,9.59
ARG,2021,9.59
ARG,2022,9.59
ARM,1995,6.57
ARM,1996,6.82
ARM,1997,7.08
ARM,1998,7.33
ARM,1999,7.59
ARM,2000,7.84
ARM,2001,8.38
ARM,2002,8.92
ARM,2003,9.45
ARM,2004,9.99
ARM,2005,10.53
ARM,2006,10.73
ARM,2007,10.93
ARM,2008,11.12
ARM,2009,11.32
ARM,2010,11.52
ARM,2011,11.72
ARM,2012,11.92
ARM,2013,12.12
ARM,2014,12.32
ARM,2015,12.52
ARM,2016,12.72
ARM,2017,12.91
ARM,2018,13.11
ARM,2019,13.3
ARM,2020,13.5
ARM,2021,13.5
ARM,2022,13.5
ATG,1995,15.14
ATG,1996,15.15
ATG,1997,15.16
ATG,1998,15.18
ATG,1999,15.19
ATG,2000,15.2
ATG,2001,15.21
ATG,2002,15.22
ATG,2003,15.23
ATG,2004,15.24
ATG,2005,15.25
ATG,2006,15.25
ATG,2007,15.25
ATG,2008,15.25
ATG,2009,15.25
ATG,2010,15.25
ATG,2011,15.26
ATG,2012,15.28
ATG,2013,15.29
ATG,2014,15.31
ATG,2015,15.32
ATG,2016,15.32
ATG,2017,15.32
ATG,2018,15.31
ATG,2019,15.31
ATG,2020,15.31
ATG,2021,15.31
ATG,2022,15.31
AUS,1995,51.01
AUS,1996,51.13
AUS,1997,51.25
AUS,1998,51.37
AUS,1999,51.49
AUS,2000,51.61
AUS,2001,51.69
AUS,2002,51.78
AUS,2003,51.86
AUS,2004,51.95
AUS,2005,52.03
AUS,2006,52.08
AUS,2007,52.13
AUS,2008,52.19
AUS,2009,52.24
AUS,2010,52.29
AUS,2011,52.36
AUS,2012,52.43
AUS,2013,52.49
AUS,2014,52.56
AUS,2015,52.63
AUS,2016,52.68
AUS,2017,52.73
AUS,2018,52.77
AUS,2019,52.82
AUS,2020,52.87
AUS,2021,52.87
AUS,2022,52.87
AUT,1995,35.52
AUT,1996,35.56
AUT,1997,35.6
AUT,1998,35.64
AUT,1999,35.68
AUT,2000,35.72
AUT,2001,35.73
AUT,2002,35.75
AUT,2003,35.76
AUT,2004,35.78
AUT,2005,35.79
AUT,2006,35.8
AUT,2007,35.81
AUT,2008,35.83
AUT,2009,35.84
AUT,2010,35.85
AUT,2011,35.87
AUT,2012,35.89
AUT,2013,35.9
AUT,2014,35.92
AUT,2015,35.94
AUT,2016,35.95
AUT,2017,35.96
AUT,2018,35.98
AUT,2019,35.99
AUT,2020,36.0
AUT,2021,36.0
AUT,2022,36.0
AZE,1995,6.18
AZE,1996,6.39
AZE,1997,6.59
AZE,1998,6.8
AZE,1999,7.0
AZE,2000,7.21
AZE,2001,7.67
AZE,2002,8.12
AZE,2003,8.58
AZE,2004,9.03
AZE,2005,9.49
AZE,2006,10.21
AZE,2007,10.92
AZE,2008,11.64
AZE,2009,12.35
AZE,2010,13.07
AZE,2011,13.28
AZE,2012,13.49
AZE,2013,13.69
AZE,2014,13.9
AZE,2015,14.11
AZE,2016,14.17
AZE,2017,14.22
AZE,2018,14.28
AZE,2019,14.33
AZE,2020,14.39
AZE,2021,14.39
AZE,2022,14.39
BDI,1995,5.65
BDI,1996,5.63
BDI,1997,5.6
BDI,1998,5.58
BDI,1999,5.55
BDI,2000,5.53
BDI,2001,5.5
BDI,2002,5.47
BDI,2003,5.45
BDI,2004,5.42
BDI,2005,5.39
BDI,2006,5.43
BDI,2007,5.46
BDI,2008,5.5
BDI,2009,5.53
BDI,2010,5.57
BDI,2011,5.65
BDI,2012,5.73
BDI,2013,5.82
BDI,2014,5.9
BDI,2015,5.98
BDI,2016,6.21
BDI,2017,6.44
BDI,2018,6.68
BDI,2019,6.91
BDI,2020,7.14
BDI,2021,7.14
BDI,2022,7.14
BEL,1995,31.59
BEL,1996,31.61
BEL,1997,31.62
BEL,1998,31.64
BEL,1999,31.65
BEL,2000,31.67
BEL,2001,31.67
BEL,2002,31.68
BEL,2003,31.68
BEL,2004,31.69
BEL,2005,31.69
BEL,2006,31.69
BEL,2007,31.69
BEL,2008,31.7
BEL,2009,31.7
BEL,2010,31.7
BEL,2011,31.71
BEL,2012,31.71
BEL,2013,31.72
BEL,2014,31.72
BEL,2015,31.73
BEL,2016,31.73
BEL,2017,31.73
BEL,2018,31.74
BEL,2019,31.74
BEL,2020,31.74
BEL,2021,31.74
BEL,2022,31.74
BEN,1995,52.76
BEN,1996,52.94
BEN,1997,53.12
BEN,1998,53.3
BEN,1999,53.48
BEN,2000,53.66
BEN,2001,53.73
BEN,2002,53.79
BEN,2003,53.86
BEN,2004,53.92
BEN,2005,53.99
BEN,2006,54.11
BEN,2007,54.23
BEN,2008,54.35
BEN,2009,54.47
BEN,2010,54.59
BEN,2011,54.82
BEN,2012,55.05
BEN,2013,55.29
BEN,2014,55.52
BEN,2015,55.75
BEN,2016,55.97
BEN,2017,56.2
BEN,2018,56.42
BEN,2019,56.65
BEN,2020,56.87
BEN,2021,56.87
BEN,2022,56.87
BFA,1995,16.3
BFA,1996,16.59
BFA,1997,16.89
BFA,1998,17.18
BFA,1999,17.48
BFA,2000,17.77
BFA,2001,17.99
BFA,2002,18.21
BFA,2003,18.43
BFA,2004,18.65
BFA,2005,18.87
BFA,2006,19.0
BFA,2007,19.12
BFA,2008,19.25
BFA,2009,19.37
BFA,2010,19.5
BFA,2011,19.8
BFA,2012,20.09
BFA,2013,20.39
BFA,2014,20.68
BFA,2015,20.98
BFA,2016,21.38
BFA,2017,21.78
BFA,2018,22.19
BFA,2019,22.59
BFA,2020,22.99
BFA,2021,22.99
BFA,2022,22.99
BGD,1995,10.09
BGD,1996,10.23
BGD,1997,10.37
BGD,1998,10.5
BGD,1999,10.64
BGD,2000,10.78
BGD,2001,10.96
BGD,2002,11.14
BGD,2003,11.33
BGD,2004,11.51
BGD,2005,11.69
BGD,2006,11.91
BGD,2007,12.13
BGD,2008,12.34
BGD,2009,12.56
BGD,2010,12.78
BGD,2011,13.03
BGD,2012,13.29
BGD,2013,13.54
BGD,2014,13.8
BGD,2015,14.05
BGD,2016,14.38
BGD,2017,14.72
BGD,2018,15.05
BGD,2019,15.39
BGD,2020,15.72
BGD,2021,15.72
BGD,2022,15.72
BGR,1995,25.67
BGR,1996,25.68
BGR,1997,25.7
BGR,1998,25.71
BGR,1999,25.73
