STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,UNIT_TYPE,DATABASE_ID,TIME_FORMAT,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,UNIT_TYPE_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,2002,2003,2004,2005,2006,2007,2008,2009,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,NPL,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,A,Annual,Nepal,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public,63.0,51.5,84.0,86.75,73.5,53.75,43.25,35.625,36.38,38.75,65.39,63.84,67.29,67.38,66.98,67.95,66.6,64.9,65.38,62.67,57.89,60.52,55.2
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,COD,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,A,Annual,"Congo, Dem. Rep.",Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public,40.75,38.5,51.5,57.33,51.0,50.5,51.25,53.5,51.83,67.67,58.34,55.36,55.69,49.03,47.33,48.4,48.29,50.91,51.41,47.66,48.55,48.91,42.31
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,ISR,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,A,Annual,Israel,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public,30.0,,,10.0,,,,,,,67.03,68.81,67.91,67.42,68.99,69.74,69.2,69.16,69.1,59.62,57.57,53.23,51.055
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,TZA,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,A,Annual,Tanzania,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public,21.25,16.5,14.5,17.5,19.82,18.0,15.0,15.5,13.0,6.0,72.66,72.7,71.91,71.35,69.35,69.35,63.72,59.75,59.31,48.28,44.02,54.8,53.68
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,NER,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,A,Annual,Niger,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public,18.5,15.75,18.33,13.0,24.5,25.5,37.0,48.5,28.5,2.5,76.92,76.41,76.15,75.38,72.79,72.6,70.74,71.75,71.56,67.8,66.84,59.71,57.05
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,KAZ,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,A,Annual,Kazakhstan,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public,42.0,42.5,44.17,36.17,41.0,41.63,35.33,49.66666667,68.5,77.5,44.92,45.06,46.54,45.45,45.99,45.59,47.18,45.89,49.72,48.28,45.87,41.11,39.34
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,GAB,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,A,Annual,Gabon,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public,20.5,31.25,37.5,26.0,28.5,31.5,26.75,43.5,28.75,36.5,71.31,68.68,68.62,67.8,65.17,67.63,64.4,62.8,61.4,56.0,58.12,65.83,70.65
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,KEN,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,A,Annual,Kenya,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public,24.75,18.5,22.25,30.0,30.25,23.75,21.25,25.0,19.0,29.5,72.2,69.3,67.93,68.84,68.8,69.18,67.56,66.28,66.35,64.59,51.15,53.22,49.41
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,CZE,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,A,Annual,Czechia,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public,11.25,2.5,3.5,1.0,0.75,4.0,4.0,5.0,7.5,-5.0,89.83,89.93,88.38,83.34,83.09,78.11,75.11,76.43,76.62,80.54,83.58,80.14,83.96
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,MWI,RWB_PFI_SCORE,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,A,Annual,Malawi,Press Freedom Index Score,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public,27.67,21.0,31.0,22.75,25.5,26.75,15.0,15.5,21.0,68.0,71.82,71.71,73.59,71.88,71.03,72.57,70.64,70.68,71.2,61.4,60.34,64.46,59.2
